"","Row_Name","Top_Column","Max_Value"
"1","g18853.t1","wg23","0.142015388708641"
"2","g10186.t1","wg30","0.124216173636526"
"3","g10185.t1","wg17","0.132939685540326"
"4","g30488.t1","wg63","0.154133640962899"
"5","g25858.t1","wg50","0.154343782056708"
"6","g25854.t1",NA,NA
"7","g13691.t1","wg76","0.263805977917493"
"8","g3548.t1",NA,NA
"9","g3547.t1","wg29","0.315885592889302"
"10","g3546.t1","wg29","0.239018118000062"
"11","g3536.t1",NA,NA
"12","g3518.t1",NA,NA
"13","g28613.t1",NA,NA
"14","g28610.t1","wg22","0.177484082506587"
"15","g28609.t1",NA,NA
"16","g1616.t1","wg23","0.259531812002445"
"17","g15899.t1",NA,NA
"18","g15864.t1",NA,NA
"19","g15863.t1","wg63","0.229893578265267"
"20","g17463.t2",NA,NA
"21","g17463.t1","wg44","0.1526291993288"
"22","g25557.t1","wg16","0.252367448169969"
"23","g25553.t1",NA,NA
"24","g25552.t1",NA,NA
"25","g26211.t1","wg55","0.111458823939634"
"26","g29332.t1","wg21","0.250825463489907"
"27","g21488.t1","wg17","0.116077362706482"
"28","-",NA,NA
